subset_rank_key,subset_size,subset_features,model,accuracy_mean,roc_auc_mean,log_loss_mean,brier_mean,calibration_gap_pp_mean,n_splits
micro_price_acceleration+tte_range_asymmetry+vwap,3,micro_price_acceleration+tte_range_asymmetry+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
micro_acceleration_decay_15s+tte_range_asymmetry+vwap,3,micro_acceleration_decay_15s+tte_range_asymmetry+vwap,7day_logistic_baseline,0.7919019316493313,0.8595957695844829,0.4649668372881118,0.1513626325484217,31.17713495313187,1
micro_acceleration_decay_15s+tte_range_asymmetry+vwap,3,micro_acceleration_decay_15s+tte_range_asymmetry+vwap,7day_logistic_enhanced,0.7919019316493313,0.856947619487912,0.46961257873710943,0.15248948366269838,30.705149197993826,1
micro_acceleration_decay_15s+tte_range_asymmetry+vwap,3,micro_acceleration_decay_15s+tte_range_asymmetry+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,7day_logistic_baseline,0.7613304093567251,0.8375487337375539,0.5015531615674421,0.163276508108921,30.863417471097943,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,7day_logistic_enhanced,0.7637426900584795,0.8418019476342805,0.4885994403021118,0.1611902724393257,31.740758886291644,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+micro_acceleration_decay_15s,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,7day_logistic_baseline,0.8033625730994152,0.8786610979134328,0.4290674961646661,0.1383472891210211,27.72656721863464,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,7day_logistic_enhanced,0.8048245614035088,0.8819160527602207,0.4285687569015751,0.13749297989650847,27.892832020491724,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
